date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:51:25	35678/35678	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2009:51:25%20GMT	https://www.vliruos.be/en/home/1	C:/Users/JanynLumanglas/OneDrive%20-%20VLIR-UOS/Bureaublad/4.%20Offline%20Website%20Backup%20(web%20version%20ao%2025%20Jan%202024)/www.vliruos.be/en/home/1.html	(from )
10:51:25	54088/54088	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2009:51:25%20GMT	https://www.vliruos.be/en/about_vlir_uos/2	C:/Users/JanynLumanglas/OneDrive%20-%20VLIR-UOS/Bureaublad/4.%20Offline%20Website%20Backup%20(web%20version%20ao%2025%20Jan%202024)/www.vliruos.be/en/about_vlir_uos/2.html	(from )
10:51:26	30474/30474	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2009:51:26%20GMT	https://www.vliruos.be/en/scholarships	C:/Users/JanynLumanglas/OneDrive%20-%20VLIR-UOS/Bureaublad/4.%20Offline%20Website%20Backup%20(web%20version%20ao%2025%20Jan%202024)/www.vliruos.be/en/scholarships.html	(from )
10:51:26	30533/30533	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2009:51:26%20GMT	https://www.vliruos.be/en/project_funding/4	C:/Users/JanynLumanglas/OneDrive%20-%20VLIR-UOS/Bureaublad/4.%20Offline%20Website%20Backup%20(web%20version%20ao%2025%20Jan%202024)/www.vliruos.be/en/project_funding/4.html	(from )
10:51:26	59984/59984	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2009:51:26%20GMT	https://www.vliruos.be/en/countries/96	C:/Users/JanynLumanglas/OneDrive%20-%20VLIR-UOS/Bureaublad/4.%20Offline%20Website%20Backup%20(web%20version%20ao%2025%20Jan%202024)/www.vliruos.be/en/countries/96.html	(from )
10:51:26	388576/388576	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2009:51:26%20GMT	https://www.vliruos.be/en/projects/20	C:/Users/JanynLumanglas/OneDrive%20-%20VLIR-UOS/Bureaublad/4.%20Offline%20Website%20Backup%20(web%20version%20ao%2025%20Jan%202024)/www.vliruos.be/en/projects/20.html	(from )
10:51:27	64205/64205	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2009:51:27%20GMT	https://www.vliruos.be/en/contact/28	C:/Users/JanynLumanglas/OneDrive%20-%20VLIR-UOS/Bureaublad/4.%20Offline%20Website%20Backup%20(web%20version%20ao%2025%20Jan%202024)/www.vliruos.be/en/contact/28.html	(from )
10:51:27	34631/34631	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2009:51:27%20GMT	https://www.vliruos.be/en/five_year_programme_2022_2027/2626	C:/Users/JanynLumanglas/OneDrive%20-%20VLIR-UOS/Bureaublad/4.%20Offline%20Website%20Backup%20(web%20version%20ao%2025%20Jan%202024)/www.vliruos.be/en/five_year_programme_2022_2027/2626.html	(from )
10:51:27	27542/27542	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2009:51:27%20GMT	https://www.vliruos.be/en/project_statistics/3633	C:/Users/JanynLumanglas/OneDrive%20-%20VLIR-UOS/Bureaublad/4.%20Offline%20Website%20Backup%20(web%20version%20ao%2025%20Jan%202024)/www.vliruos.be/en/project_statistics/3633.html	(from )
10:51:27	97169/97169	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2009:51:27%20GMT	https://www.vliruos.be/en/news-events	C:/Users/JanynLumanglas/OneDrive%20-%20VLIR-UOS/Bureaublad/4.%20Offline%20Website%20Backup%20(web%20version%20ao%2025%20Jan%202024)/www.vliruos.be/en/news-events.html	(from )
10:51:27	181530/181530	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2009:51:27%20GMT	https://www.vliruos.be/en/documents/129	C:/Users/JanynLumanglas/OneDrive%20-%20VLIR-UOS/Bureaublad/4.%20Offline%20Website%20Backup%20(web%20version%20ao%2025%20Jan%202024)/www.vliruos.be/en/documents/129.html	(from )
10:51:28	35084/35084	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2009:51:28%20GMT	https://www.vliruos.be/en/stories/60	C:/Users/JanynLumanglas/OneDrive%20-%20VLIR-UOS/Bureaublad/4.%20Offline%20Website%20Backup%20(web%20version%20ao%2025%20Jan%202024)/www.vliruos.be/en/stories/60.html	(from )
10:51:28	36008/36008	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2009:51:28%20GMT	https://www.vliruos.be/en/call_types/1566	C:/Users/JanynLumanglas/OneDrive%20-%20VLIR-UOS/Bureaublad/4.%20Offline%20Website%20Backup%20(web%20version%20ao%2025%20Jan%202024)/www.vliruos.be/en/call_types/1566.html	(from )
10:51:29	42315/42315	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2009:51:28%20GMT	https://www.vliruos.be/en/community_talks/1366	C:/Users/JanynLumanglas/OneDrive%20-%20VLIR-UOS/Bureaublad/4.%20Offline%20Website%20Backup%20(web%20version%20ao%2025%20Jan%202024)/www.vliruos.be/en/community_talks/1366.html	(from )
10:51:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Jan%202024%2009:51:28%20GMT	https://www.vliruos.be/robots.txt		(from )
10:51:29	2972/2972	---M--	200	added ('OK')	image/png	etag:%22b9c-566e7b0825d2a%22	https://www.vliruos.be//pictures/favicon/apple-touch-icon.png	C:/Users/JanynLumanglas/OneDrive%20-%20VLIR-UOS/Bureaublad/4.%20Offline%20Website%20Backup%20(web%20version%20ao%2025%20Jan%202024)/www.vliruos.be/pictures/favicon/apple-touch-icon.png	(from https://www.vliruos.be/en/home/1)
10:51:29	1393/1393	---M--	200	added ('OK')	image/png	etag:%22571-566e7b082789f%22	https://www.vliruos.be//pictures/favicon/favicon-32x32.png	C:/Users/JanynLumanglas/OneDrive%20-%20VLIR-UOS/Bureaublad/4.%20Offline%20Website%20Backup%20(web%20version%20ao%2025%20Jan%202024)/www.vliruos.be/pictures/favicon/favicon-32x32.png	(from https://www.vliruos.be/en/home/1)
10:51:29	933/933	---M--	200	added ('OK')	image/png	etag:%223a5-566e7b0826cee%22	https://www.vliruos.be//pictures/favicon/favicon-16x16.png	C:/Users/JanynLumanglas/OneDrive%20-%20VLIR-UOS/Bureaublad/4.%20Offline%20Website%20Backup%20(web%20version%20ao%2025%20Jan%202024)/www.vliruos.be/pictures/favicon/favicon-16x16.png	(from https://www.vliruos.be/en/home/1)
10:51:29	275604/275604	---M--	200	added ('OK')	text/css	etag:%2243494-5db43fd7623fb%22	https://www.vliruos.be/css/style.css?v3	C:/Users/JanynLumanglas/OneDrive%20-%20VLIR-UOS/Bureaublad/4.%20Offline%20Website%20Backup%20(web%20version%20ao%2025%20Jan%202024)/www.vliruos.be/css/style43a0.css	(from https://www.vliruos.be/en/home/1)
10:51:30	565/565	---M--	200	added ('OK')	text/css	etag:%22235-5a94e33cc8f03%22	https://www.vliruos.be/css/edit.css?v=20200306	C:/Users/JanynLumanglas/OneDrive%20-%20VLIR-UOS/Bureaublad/4.%20Offline%20Website%20Backup%20(web%20version%20ao%2025%20Jan%202024)/www.vliruos.be/css/editf87f.css	(from https://www.vliruos.be/en/home/1)
10:51:30	26599/26599	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2009:51:30%20GMT	https://www.vliruos.be/en/privacypolicy/1231	C:/Users/JanynLumanglas/OneDrive%20-%20VLIR-UOS/Bureaublad/4.%20Offline%20Website%20Backup%20(web%20version%20ao%2025%20Jan%202024)/www.vliruos.be/en/privacypolicy/1231.html	(from https://www.vliruos.be/en/home/1)
10:51:30	36808/36808	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2009:51:30%20GMT	https://www.vliruos.be/en/news_events/need_inspiration_for_a_short_initiative_(si)_or_team_project_here_are_30_ideas_for_your_project_proposal/2419	C:/Users/JanynLumanglas/OneDrive%20-%20VLIR-UOS/Bureaublad/4.%20Offline%20Website%20Backup%20(web%20version%20ao%2025%20Jan%202024)/www.vliruos.be/en/news_events/need_inspiration_for_a_short_initiative_(si)_or/2419.html	(from https://www.vliruos.be/en/home/1)
